Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),gFx,gFy,gFz,gFTotal,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Activity
2.19E-01,1.95E+00,9.61E+00,9.81E+00,0.007,-0.195,-0.964,0.984,-2.33E-04,5.88E-03,4.28E-04,5.90E-03,standing
2.51E-01,1.90E+00,9.61E+00,9.80E+00,-0.003,-0.198,-0.965,0.985,3.10E-03,4.92E-03,-1.56E-03,6.02E-03,standing
2.47E-01,1.89E+00,9.61E+00,9.79E+00,-0.009,-0.202,-0.974,0.995,5.48E-03,2.15E-03,1.92E-03,6.19E-03,standing
2.68E-01,1.91E+00,9.63E+00,9.82E+00,-0.016,-0.204,-0.989,1.01,7.57E-03,-5.66E-04,8.89E-04,7.64E-03,standing
3.07E-01,1.95E+00,9.71E+00,9.90E+00,-0.015,-0.205,-1.001,1.022,1.42E-02,7.58E-03,1.69E-03,1.62E-02,standing
3.08E-01,1.99E+00,9.78E+00,9.99E+00,-0.015,-0.205,-1.005,1.025,1.86E-02,2.60E-03,-8.86E-04,1.88E-02,standing
3.00E-01,2.02E+00,9.84E+00,1.01E+01,-0.012,-0.199,-0.998,1.018,1.52E-02,2.72E-03,-5.06E-03,1.63E-02,standing
2.82E-01,1.99E+00,9.85E+00,1.01E+01,-0.006,-0.196,-0.988,1.008,8.55E-03,9.80E-03,2.95E-03,1.33E-02,standing
2.49E-01,1.98E+00,9.79E+00,9.99E+00,-0.004,-0.196,-0.979,0.999,6.51E-03,1.79E-03,5.20E-03,8.53E-03,standing
2.28E-01,1.96E+00,9.69E+00,9.89E+00,-0.002,-0.197,-0.971,0.99,-1.19E-03,-3.75E-03,6.28E-04,3.99E-03,standing
1.87E-01,1.97E+00,9.59E+00,9.80E+00,-0.002,-0.201,-0.965,0.986,-8.02E-04,-1.01E-02,6.73E-04,1.01E-02,standing
-6.27E-01,3.22E-01,6.26E+00,6.29E+00,0.079,0.084,-0.831,0.839,-4.16E-01,2.26E+00,2.47E-01,2.31E+00,running
1.05E+00,-1.74E-01,6.30E+00,6.39E+00,0.162,0.165,-0.896,0.925,8.69E-01,3.87E+00,7.27E-01,4.04E+00,running
1.81E+00,1.47E+00,6.04E+00,6.47E+00,0.159,0.204,-0.914,0.95,1.99E+00,3.90E+00,9.55E-01,4.49E+00,running
1.36E+00,3.65E+00,5.31E+00,6.59E+00,0.06,0.211,-0.895,0.922,2.87E+00,3.21E+00,8.69E-01,4.39E+00,running
-4.17E-01,4.51E+00,3.95E+00,6.01E+00,-0.1,0.171,-0.899,0.921,3.41E+00,2.17E+00,7.76E-01,4.11E+00,running
-8.57E-01,2.91E+00,2.43E+00,3.89E+00,-0.276,0.085,-1.001,1.042,3.60E+00,1.40E+00,7.45E-01,3.94E+00,running
-1.93E-01,9.73E-01,1.78E+00,2.04E+00,-0.409,0.014,-1.144,1.215,3.36E+00,1.32E+00,6.70E-01,3.67E+00,running
4.53E-01,2.28E-01,2.43E+00,2.48E+00,-0.483,-0.023,-1.227,1.319,2.46E+00,1.65E+00,5.81E-01,3.01E+00,running
6.04E-01,4.64E-01,3.37E+00,3.45E+00,-0.495,-0.033,-1.212,1.309,1.29E+00,1.95E+00,5.35E-01,2.40E+00,running
2.48E-01,1.39E+00,4.32E+00,4.55E+00,-0.435,-0.05,-1.098,1.182,4.39E-01,1.97E+00,5.40E-01,2.09E+00,running
-2.03E-01,2.29E+00,4.63E+00,5.17E+00,-0.333,-0.078,-0.941,1.001,3.77E-02,1.74E+00,5.58E-01,1.83E+00,running
6.35E-02,2.82E+00,4.39E+00,5.22E+00,-0.225,-0.104,-0.765,0.804,-2.31E-02,1.24E+00,5.05E-01,1.34E+00,running
3.55E-01,2.75E+00,4.94E+00,5.67E+00,-0.151,-0.131,-0.555,0.59,1.72E-01,6.14E-01,3.20E-01,7.13E-01,running
-3.32E-02,2.54E+00,6.15E+00,6.65E+00,-0.101,-0.173,-0.349,0.402,3.93E-01,1.95E-01,1.18E-01,4.54E-01,running
-9.28E-03,2.94E+00,7.05E+00,7.64E+00,-0.066,-0.228,-0.217,0.321,5.46E-01,2.40E-02,5.95E-02,5.50E-01,running
8.46E-01,3.91E+00,7.32E+00,8.34E+00,-0.059,-0.258,-0.204,0.334,6.91E-01,-1.11E-01,1.44E-01,7.15E-01,running
1.79E+00,5.35E+00,7.88E+00,9.69E+00,-0.059,-0.218,-0.312,0.385,8.77E-01,-2.67E-01,3.13E-01,9.69E-01,running
2.53E+00,6.49E+00,8.82E+00,1.12E+01,-0.053,-0.125,-0.537,0.553,9.60E-01,-3.78E-01,4.22E-01,1.12E+00,running
2.22E+00,6.86E+00,9.71E+00,1.21E+01,-0.057,-0.027,-0.827,0.829,8.23E-01,-4.79E-01,3.74E-01,1.02E+00,running
1.71E+00,6.48E+00,1.14E+01,1.32E+01,-0.038,0.018,-1.104,1.105,5.56E-01,-4.63E-01,1.69E-01,7.43E-01,running
1.77E+00,5.85E+00,1.42E+01,1.55E+01,0.018,-0.013,-1.279,1.279,2.37E-01,-3.74E-01,-8.43E-02,4.51E-01,running
-3.03E-01,1.66E+00,7.67E+00,7.85E+00,-0.064,-0.104,-1.028,1.035,-7.47E-01,-3.97E-01,-6.30E-01,1.05E+00,walking
-2.45E-01,1.82E+00,7.57E+00,7.79E+00,-0.067,-0.132,-1.007,1.017,-7.40E-01,-2.28E-01,-7.02E-01,1.05E+00,walking
-2.26E-01,2.02E+00,7.58E+00,7.85E+00,-0.067,-0.159,-0.972,0.987,-7.31E-01,1.42E-02,-7.17E-01,1.02E+00,walking
-1.63E-01,2.16E+00,7.67E+00,7.97E+00,-0.062,-0.18,-0.933,0.952,-6.91E-01,2.92E-01,-6.55E-01,9.96E-01,walking
-1.55E-01,2.26E+00,7.70E+00,8.03E+00,-0.056,-0.198,-0.896,0.919,-6.00E-01,5.88E-01,-4.91E-01,9.73E-01,walking
-1.83E-01,2.29E+00,7.63E+00,7.96E+00,-0.046,-0.215,-0.867,0.895,-4.72E-01,8.23E-01,-1.94E-01,9.68E-01,walking
-2.66E-01,2.29E+00,7.54E+00,7.89E+00,-0.031,-0.229,-0.848,0.879,-3.78E-01,7.94E-01,-2.56E-02,8.80E-01,walking
-3.60E-01,2.35E+00,7.50E+00,7.87E+00,-0.015,-0.245,-0.843,0.878,-3.12E-01,7.12E-01,5.11E-02,7.79E-01,walking
-4.70E-01,2.41E+00,7.60E+00,7.99E+00,0.001,-0.26,-0.847,0.886,-2.68E-01,6.07E-01,8.84E-02,6.69E-01,walking
-6.19E-01,2.52E+00,7.87E+00,8.29E+00,0.015,-0.273,-0.858,0.901,-2.19E-01,4.33E-01,1.01E-01,4.96E-01,walking
-7.70E-01,2.62E+00,8.22E+00,8.66E+00,0.028,-0.282,-0.871,0.916,-1.39E-01,1.64E-01,9.82E-02,2.37E-01,walking
-8.46E-01,2.57E+00,8.49E+00,8.91E+00,0.04,-0.288,-0.883,0.93,-3.94E-02,-1.25E-01,9.32E-02,1.61E-01,walking
-8.40E-01,2.47E+00,8.70E+00,9.08E+00,0.057,-0.298,-0.898,0.948,8.15E-02,-3.70E-01,7.05E-02,3.85E-01,walking
-7.78E-01,2.40E+00,8.89E+00,9.25E+00,0.069,-0.307,-0.914,0.967,2.29E-01,-5.16E-01,2.61E-02,5.66E-01,walking
-6.58E-01,2.44E+00,9.27E+00,9.61E+00,0.077,-0.316,-0.937,0.992,3.77E-01,-5.48E-01,-5.37E-02,6.67E-01,walking
-4.66E-01,2.52E+00,9.72E+00,1.01E+01,0.076,-0.326,-0.967,1.024,5.09E-01,-4.98E-01,-1.64E-01,7.31E-01,walking
-2.93E-01,2.53E+00,1.02E+01,1.05E+01,0.062,-0.338,-1.005,1.062,5.94E-01,-3.93E-01,-2.92E-01,7.70E-01,walking
-1.59E-01,2.59E+00,1.07E+01,1.10E+01,0.042,-0.347,-1.049,1.106,6.13E-01,-2.65E-01,-4.26E-01,7.93E-01,walking
-9.64E-02,2.64E+00,1.13E+01,1.16E+01,0.01,-0.356,-1.094,1.151,5.56E-01,-1.55E-01,-5.43E-01,7.92E-01,walking
-8.20E-02,2.70E+00,1.17E+01,1.20E+01,-0.034,-0.355,-1.137,1.192,4.42E-01,-8.29E-02,-6.20E-01,7.66E-01,walking
-1.40E-01,2.70E+00,1.20E+01,1.23E+01,-0.078,-0.349,-1.177,1.231,2.93E-01,-4.69E-02,-6.62E-01,7.25E-01,walking
3.03E-01,1.94E+00,9.66E+00,9.86E+00,-0.007,-0.192,-0.983,1.001,-3.16E-02,2.72E-02,-2.52E-02,4.87E-02,standing
2.80E-01,1.95E+00,9.62E+00,9.82E+00,-0.007,-0.19,-0.986,1.005,-1.04E-02,2.22E-02,-1.40E-02,2.83E-02,standing
2.65E-01,1.95E+00,9.58E+00,9.78E+00,-0.008,-0.189,-0.987,1.005,6.54E-03,8.00E-03,-4.44E-03,1.13E-02,standing
2.60E-01,1.97E+00,9.59E+00,9.79E+00,-0.005,-0.189,-0.99,1.008,1.70E-02,-1.07E-02,7.52E-03,2.14E-02,standing
2.63E-01,1.99E+00,9.64E+00,9.85E+00,-0.004,-0.192,-0.992,1.01,2.14E-02,-2.20E-02,1.65E-02,3.48E-02,standing
2.96E-01,2.01E+00,9.67E+00,9.88E+00,-0.006,-0.194,-0.991,1.01,1.67E-02,-3.00E-02,2.69E-02,4.36E-02,standing
3.31E-01,2.01E+00,9.69E+00,9.90E+00,-0.006,-0.194,-0.989,1.008,1.32E-02,-3.02E-02,2.45E-02,4.11E-02,standing
3.18E-01,1.99E+00,9.69E+00,9.89E+00,0.002,-0.197,-0.985,1.005,7.09E-03,-2.67E-02,1.64E-02,3.21E-02,standing
2.97E-01,1.94E+00,9.60E+00,9.80E+00,0.004,-0.197,-0.978,0.998,-3.14E-03,-1.68E-02,6.50E-03,1.83E-02,standing
2.56E-01,1.94E+00,9.50E+00,9.70E+00,0,-0.196,-0.975,0.995,-9.35E-03,-1.86E-03,2.85E-03,9.95E-03,standing
1.99E-01,1.96E+00,9.43E+00,9.64E+00,-0.001,-0.199,-0.977,0.997,-1.02E-02,3.33E-03,-8.48E-05,1.07E-02,standing
1.52E-01,1.96E+00,9.40E+00,9.60E+00,0.001,-0.2,-0.981,1.002,-3.54E-03,8.17E-03,-3.97E-03,9.75E-03,standing
1.49E-01,1.97E+00,9.39E+00,9.60E+00,0.002,-0.201,-0.984,1.004,1.14E-02,4.25E-04,-3.38E-03,1.19E-02,standing
1.91E-01,2.00E+00,9.43E+00,9.64E+00,0.001,-0.199,-0.98,1,1.68E-02,-5.64E-03,-6.28E-04,1.77E-02,standing
2.54E-01,2.05E+00,9.53E+00,9.75E+00,-0.004,-0.195,-0.979,0.998,1.87E-02,-1.40E-02,2.38E-04,2.34E-02,standing
3.03E-01,2.06E+00,9.58E+00,9.80E+00,-0.003,-0.197,-0.981,1,1.44E-02,-2.55E-02,4.93E-03,2.97E-02,standing
3.25E-01,2.05E+00,9.62E+00,9.84E+00,-0.001,-0.198,-0.982,1.002,6.51E-03,-3.09E-02,9.46E-03,3.29E-02,standing
3.13E-01,2.03E+00,9.63E+00,9.85E+00,0,-0.202,-0.982,1.003,-2.44E-03,-3.00E-02,8.59E-03,3.13E-02,standing
2.69E-01,1.98E+00,9.62E+00,9.83E+00,-0.005,-0.201,-0.978,0.999,-3.75E-03,-2.42E-02,3.46E-03,2.47E-02,standing
2.29E-01,1.94E+00,9.59E+00,9.79E+00,-0.009,-0.202,-0.978,0.999,8.96E-04,-1.80E-02,6.37E-03,1.91E-02,standing
2.02E-01,1.91E+00,9.54E+00,9.73E+00,-0.007,-0.204,-0.984,1.005,6.11E-03,-1.14E-02,-8.37E-04,1.29E-02,standing
2.17E-01,1.91E+00,9.47E+00,9.67E+00,-0.002,-0.206,-0.99,1.011,1.40E-02,-5.60E-03,-7.47E-03,1.68E-02,standing
-7.77E-01,7.84E+00,1.08E+01,1.34E+01,0.181,-0.217,-0.516,0.589,-2.18E-01,-7.55E-01,-7.99E-01,1.12E+00,running
-5.22E-01,7.05E+00,9.55E+00,1.19E+01,0.222,-0.084,-0.579,0.626,-5.15E-01,-4.30E-01,-7.95E-01,1.04E+00,running
-2.56E-01,6.04E+00,9.37E+00,1.11E+01,0.274,-0.03,-0.584,0.646,-7.17E-01,-3.16E-01,-8.50E-01,1.16E+00,running
5.98E-01,5.43E+00,9.56E+00,1.10E+01,0.337,-0.032,-0.47,0.579,-8.92E-01,-2.93E-01,-9.99E-01,1.37E+00,running
1.00E+00,4.45E+00,9.00E+00,1.01E+01,0.408,-0.094,-0.291,0.51,-6.07E-01,8.28E-01,-9.36E-01,1.39E+00,running
1.18E+00,3.48E+00,8.61E+00,9.37E+00,0.463,-0.224,-0.163,0.54,-3.24E-01,6.27E-01,-5.89E-01,9.19E-01,running
1.78E+00,2.74E+00,7.97E+00,8.62E+00,0.474,-0.307,-0.099,0.573,-1.95E-02,2.95E-01,-3.37E-01,4.48E-01,running
2.24E+00,2.08E+00,7.07E+00,7.70E+00,0.41,-0.317,-0.092,0.526,2.77E-01,-4.58E-02,-2.93E-01,4.06E-01,running
2.37E+00,1.45E+00,6.83E+00,7.37E+00,0.453,-0.351,-0.092,0.58,4.10E-01,-1.69E-01,-3.43E-01,5.61E-01,running
1.97E+00,9.25E-01,6.11E+00,6.49E+00,0.48,-0.404,-0.091,0.634,4.11E-01,-1.25E-01,-3.84E-01,5.76E-01,running
1.43E+00,4.64E-01,4.74E+00,4.97E+00,0.417,-0.404,-0.083,0.587,4.01E-01,2.28E-02,-3.31E-01,5.20E-01,running
9.95E-01,5.09E-01,2.94E+00,3.15E+00,0.331,-0.368,-0.169,0.523,4.52E-01,4.84E-02,-2.07E-01,4.99E-01,running
7.28E-01,8.85E-01,1.29E+00,1.73E+00,0.238,-0.307,-0.494,0.629,4.71E-01,1.52E-02,-7.99E-02,4.78E-01,running
4.53E-01,1.09E+00,9.37E-02,1.18E+00,0.204,-0.238,-0.839,0.895,5.48E-01,1.41E-01,-3.26E-03,5.65E-01,running
1.46E-01,1.20E+00,-1.84E-01,1.22E+00,0.319,-0.273,-1.203,1.274,6.09E-01,4.55E-01,6.08E-03,7.60E-01,running
9.76E-02,1.34E+00,9.72E-01,1.66E+00,0.474,-0.404,-1.429,1.559,6.60E-01,7.91E-01,-3.10E-02,1.03E+00,running
3.94E-01,1.22E+00,3.00E+00,3.26E+00,0.577,-0.564,-1.456,1.665,7.71E-01,1.03E+00,-4.67E-02,1.29E+00,running
5.06E-01,1.14E+00,4.79E+00,4.94E+00,0.631,-0.738,-1.358,1.669,9.82E-01,1.08E+00,4.08E-02,1.46E+00,running
6.50E-01,9.58E-01,6.51E+00,6.61E+00,0.614,-0.903,-1.26,1.668,1.26E+00,7.45E-01,2.18E-01,1.48E+00,running
1.22E+00,5.81E-01,8.66E+00,8.76E+00,0.555,-1.03,-1.249,1.711,1.44E+00,1.46E-01,3.19E-01,1.48E+00,running
1.53E+00,5.20E-01,1.04E+01,1.05E+01,0.514,-1.061,-1.389,1.822,1.36E+00,-3.10E-01,3.09E-01,1.43E+00,running
-8.29E-01,2.09E-01,8.76E+00,8.80E+00,0.043,-0.21,-0.904,0.929,1.77E-01,5.91E-01,1.62E-01,6.38E-01,walking
-4.34E-01,3.27E-01,8.96E+00,8.98E+00,-0.013,-0.165,-0.992,1.005,5.02E-02,2.83E-01,1.38E-01,3.19E-01,walking
-1.69E-02,5.71E-01,9.34E+00,9.36E+00,-0.025,-0.12,-1.099,1.106,-4.78E-02,1.95E-03,8.04E-02,9.35E-02,walking
3.25E-01,8.77E-01,9.65E+00,9.70E+00,-0.005,-0.073,-1.194,1.196,-7.03E-02,-1.78E-01,3.74E-03,1.91E-01,walking
6.02E-01,1.14E+00,9.74E+00,9.83E+00,0.029,-0.029,-1.251,1.252,-3.13E-02,-2.16E-01,-7.20E-02,2.30E-01,walking
7.79E-01,1.39E+00,9.60E+00,9.73E+00,0.076,0.01,-1.266,1.268,3.85E-02,-1.47E-01,-1.27E-01,1.98E-01,walking
7.22E-01,1.64E+00,9.23E+00,9.40E+00,0.118,0.039,-1.243,1.249,1.11E-01,-2.05E-02,-1.54E-01,1.91E-01,walking
4.62E-01,1.80E+00,8.66E+00,8.86E+00,0.147,0.057,-1.194,1.205,1.49E-01,1.21E-01,-1.46E-01,2.41E-01,walking
1.46E-01,1.84E+00,7.95E+00,8.16E+00,0.159,0.061,-1.144,1.157,1.39E-01,2.60E-01,-1.22E-01,3.18E-01,walking
-1.20E-01,1.80E+00,7.38E+00,7.59E+00,0.151,0.049,-1.102,1.113,7.20E-02,3.67E-01,-9.79E-02,3.87E-01,walking
-3.51E-01,1.80E+00,7.07E+00,7.30E+00,0.12,0.026,-1.074,1.081,-3.24E-02,4.28E-01,-8.40E-02,4.37E-01,walking
-4.57E-01,1.81E+00,7.00E+00,7.24E+00,0.067,0.007,-1.062,1.064,-1.50E-01,4.65E-01,-7.42E-02,4.94E-01,walking
-4.25E-01,1.86E+00,7.22E+00,7.47E+00,0.002,-0.008,-1.06,1.06,-2.61E-01,4.70E-01,-7.06E-02,5.42E-01,walking
-2.85E-01,1.92E+00,7.63E+00,7.88E+00,-0.051,-0.033,-1.065,1.067,-3.44E-01,4.51E-01,-7.58E-02,5.73E-01,walking
-1.05E-01,1.97E+00,8.06E+00,8.30E+00,-0.088,-0.065,-1.07,1.075,-3.88E-01,4.11E-01,-9.37E-02,5.73E-01,walking
6.75E-02,1.99E+00,8.39E+00,8.62E+00,-0.117,-0.09,-1.065,1.075,-3.84E-01,3.47E-01,-1.16E-01,5.30E-01,walking
1.46E-01,1.98E+00,8.56E+00,8.79E+00,-0.138,-0.111,-1.043,1.058,-3.38E-01,2.68E-01,-1.37E-01,4.53E-01,walking
1.05E-01,1.92E+00,8.61E+00,8.82E+00,-0.142,-0.125,-1.005,1.022,-2.57E-01,1.84E-01,-1.63E-01,3.55E-01,walking
5.39E-03,1.90E+00,8.57E+00,8.78E+00,-0.135,-0.134,-0.955,0.973,-1.60E-01,1.01E-01,-1.86E-01,2.65E-01,walking
-5.00E-02,1.97E+00,8.51E+00,8.74E+00,-0.117,-0.138,-0.9,0.919,-6.65E-02,3.53E-02,-1.97E-01,2.11E-01,walking
-8.49E-02,2.15E+00,8.41E+00,8.68E+00,-0.098,-0.137,-0.849,0.865,1.05E-02,2.08E-02,-1.98E-01,1.99E-01,walking
2.78E-01,2.00E+00,9.56E+00,9.77E+00,-0.003,-0.19,-0.979,0.998,1.11E-02,-4.25E-03,-7.61E-03,1.41E-02,standing
2.66E-01,1.98E+00,9.55E+00,9.76E+00,-0.012,-0.189,-0.983,1.001,8.98E-03,-5.38E-03,-1.10E-03,1.05E-02,standing
2.51E-01,1.96E+00,9.55E+00,9.75E+00,-0.01,-0.19,-0.988,1.006,7.59E-03,-8.16E-03,-4.97E-03,1.22E-02,standing
2.47E-01,1.94E+00,9.55E+00,9.75E+00,-0.004,-0.193,-0.987,1.006,4.28E-03,-8.79E-03,-5.72E-03,1.13E-02,standing
2.04E-01,1.93E+00,9.51E+00,9.71E+00,0.003,-0.194,-0.976,0.995,4.13E-04,-6.95E-03,-3.61E-03,7.85E-03,standing
1.81E-01,1.94E+00,9.50E+00,9.69E+00,0.005,-0.199,-0.965,0.985,1.40E-03,-2.37E-03,-3.01E-03,4.08E-03,standing
1.62E-01,1.96E+00,9.50E+00,9.70E+00,0.004,-0.204,-0.957,0.978,-1.96E-03,1.12E-03,-2.46E-03,3.33E-03,standing
2.16E-01,1.97E+00,9.54E+00,9.74E+00,0.001,-0.206,-0.955,0.977,2.99E-03,3.33E-04,-9.49E-04,3.15E-03,standing
2.88E-01,1.98E+00,9.60E+00,9.80E+00,-0.002,-0.21,-0.958,0.981,5.42E-03,-2.42E-03,2.02E-03,6.27E-03,standing
2.88E-01,2.01E+00,9.67E+00,9.88E+00,-0.009,-0.209,-0.965,0.987,1.09E-02,-5.76E-03,4.68E-03,1.32E-02,standing
2.89E-01,2.02E+00,9.71E+00,9.92E+00,-0.013,-0.207,-0.979,1.001,1.07E-02,-1.44E-02,3.56E-03,1.83E-02,standing
3.01E-01,2.04E+00,9.71E+00,9.93E+00,-0.011,-0.205,-0.993,1.014,8.28E-03,-1.94E-02,3.94E-03,2.15E-02,standing
2.61E-01,2.03E+00,9.67E+00,9.88E+00,-0.004,-0.199,-1.003,1.022,4.89E-03,-2.09E-02,4.20E-03,2.18E-02,standing
2.22E-01,2.00E+00,9.58E+00,9.79E+00,-0.003,-0.192,-1,1.019,4.78E-03,-1.83E-02,1.54E-03,1.90E-02,standing
1.84E-01,1.99E+00,9.48E+00,9.69E+00,0,-0.189,-0.99,1.008,7.17E-03,-1.36E-02,-2.82E-03,1.56E-02,standing
1.71E-01,2.00E+00,9.43E+00,9.64E+00,0.005,-0.191,-0.979,0.997,1.78E-02,-8.62E-03,-9.41E-03,2.19E-02,standing
1.64E-01,2.02E+00,9.45E+00,9.66E+00,0.001,-0.194,-0.97,0.989,3.05E-02,2.12E-04,-1.04E-02,3.22E-02,standing
1.88E-01,2.01E+00,9.53E+00,9.74E+00,-0.003,-0.198,-0.971,0.99,3.56E-02,1.33E-02,-4.43E-03,3.82E-02,standing
2.06E-01,1.99E+00,9.63E+00,9.84E+00,-0.008,-0.204,-0.977,0.998,3.73E-02,1.34E-02,-2.47E-03,3.97E-02,standing
2.27E-01,2.00E+00,9.69E+00,9.89E+00,-0.014,-0.207,-0.987,1.009,3.94E-02,6.03E-03,-2.31E-04,3.98E-02,standing
2.35E-01,2.00E+00,9.69E+00,9.90E+00,-0.017,-0.209,-0.994,1.016,3.17E-02,-5.06E-03,6.49E-03,3.28E-02,standing
1.73E+00,1.14E+00,1.06E+01,1.08E+01,-0.084,0.262,-0.294,0.403,-3.23E-01,1.48E+00,1.61E+00,2.21E+00,running
1.92E+00,2.25E+00,1.04E+01,1.08E+01,-0.133,0.174,-0.154,0.268,-3.16E-01,1.46E+00,1.60E+00,2.19E+00,running
2.35E+00,3.19E+00,1.08E+01,1.15E+01,-0.155,0.095,-0.06,0.191,-3.09E-01,1.41E+00,1.57E+00,2.13E+00,running
2.92E+00,3.88E+00,1.25E+01,1.34E+01,-0.022,0.021,-0.051,0.06,-2.76E-01,1.42E+00,1.53E+00,2.11E+00,running
3.15E+00,3.85E+00,1.53E+01,1.61E+01,-0.004,-0.038,-0.06,0.071,-2.57E-01,1.47E+00,1.53E+00,2.14E+00,running
2.43E+00,3.29E+00,1.79E+01,1.84E+01,-0.049,-0.051,-0.061,0.094,-2.46E-01,1.54E+00,1.56E+00,2.21E+00,running
1.48E+00,2.61E+00,1.94E+01,1.96E+01,-0.108,-0.049,-0.084,0.145,-2.88E-01,1.62E+00,1.58E+00,2.28E+00,running
