Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),gFx,gFy,gFz,gFTotal,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Activity
-3.24E-01,5.37E+00,7.39E+00,9.14E+00,-0.148,0.187,-0.517,0.569,3.76E-01,3.09E+00,5.54E-01,3.17E+00,running
2.09E-01,4.67E+00,6.86E+00,8.30E+00,-0.146,0.146,-0.384,0.436,3.45E-01,3.09E+00,7.12E-01,3.19E+00,running
6.37E-01,4.04E+00,5.97E+00,7.23E+00,-0.142,0.085,-0.248,0.298,6.34E-01,2.71E+00,7.47E-01,2.88E+00,running
8.93E-01,3.35E+00,5.01E+00,6.09E+00,-0.124,0.005,-0.151,0.195,1.11E+00,2.08E+00,6.89E-01,2.46E+00,running
1.43E+00,2.69E+00,4.42E+00,5.36E+00,-0.104,-0.069,-0.067,0.141,1.58E+00,1.50E+00,6.44E-01,2.28E+00,running
2.13E+00,2.47E+00,3.95E+00,5.12E+00,-0.095,-0.13,-0.013,0.162,1.92E+00,1.19E+00,6.47E-01,2.35E+00,running
2.74E+00,2.41E+00,3.12E+00,4.80E+00,-0.101,-0.188,-0.022,0.214,2.06E+00,1.28E+00,7.18E-01,2.52E+00,running
3.06E+00,2.52E+00,2.06E+00,4.46E+00,-0.171,-0.237,-0.155,0.331,1.90E+00,1.55E+00,8.42E-01,2.60E+00,running
3.09E+00,2.63E+00,1.34E+00,4.27E+00,-0.29,-0.241,-0.471,0.603,1.56E+00,1.92E+00,9.15E-01,2.64E+00,running
2.93E+00,2.59E+00,1.23E+00,4.10E+00,-0.412,-0.116,-1.128,1.207,1.26E+00,1.95E+00,9.31E-01,2.50E+00,running
2.79E+00,2.69E+00,1.01E+00,4.00E+00,-0.536,-0.055,-1.616,1.704,1.31E+00,1.43E+00,9.47E-01,2.15E+00,running
2.63E+00,2.81E+00,5.48E-01,3.89E+00,-0.351,-0.161,-1.908,1.946,1.91E+00,6.36E-01,1.04E+00,2.26E+00,running
2.40E+00,2.73E+00,1.34E-01,3.64E+00,-0.154,-0.323,-1.797,1.832,3.03E+00,3.70E-01,1.27E+00,3.30E+00,running
2.08E+00,2.86E+00,-1.00E-02,3.53E+00,-0.13,-0.517,-1.376,1.475,4.06E+00,9.04E-01,1.77E+00,4.52E+00,running
1.61E+00,2.60E+00,4.48E-02,3.05E+00,-0.266,-0.745,-0.942,1.23,4.40E+00,1.51E+00,2.45E+00,5.26E+00,running
1.21E+00,2.13E+00,5.78E-01,2.52E+00,-0.349,-0.865,-0.857,1.266,4.15E+00,2.03E+00,2.80E+00,5.40E+00,running
1.22E+00,2.14E+00,1.60E+00,2.94E+00,-0.301,-0.741,-1.36,1.577,3.65E+00,2.54E+00,2.66E+00,5.18E+00,running
1.59E+00,2.48E+00,2.80E+00,4.06E+00,-0.259,-0.366,-2.33,2.372,3.01E+00,2.73E+00,2.33E+00,4.69E+00,running
1.36E+00,2.89E+00,4.47E+00,5.50E+00,-0.254,0.026,-3.13,3.14,2.38E+00,2.49E+00,2.22E+00,4.09E+00,running
7.06E-01,3.80E+00,5.81E+00,6.97E+00,-0.184,0.192,-3.217,3.228,1.92E+00,1.98E+00,2.34E+00,3.62E+00,running
3.97E-01,4.83E+00,6.30E+00,7.95E+00,-0.105,0.174,-2.756,2.763,1.61E+00,1.38E+00,2.41E+00,3.21E+00,running
5.76E-01,5.53E+00,7.48E+00,9.32E+00,-0.072,0.065,-2.088,2.09,1.26E+00,8.01E-01,2.30E+00,2.74E+00,running
1.05E+00,6.17E+00,9.71E+00,1.16E+01,-0.053,-0.156,-1.475,1.484,8.07E-01,2.42E-01,2.06E+00,2.22E+00,running
7.05E-01,7.43E+00,1.10E+01,1.33E+01,-0.101,-0.455,-0.903,1.016,3.40E-01,-2.64E-01,1.75E+00,1.81E+00,running
2.06E-01,9.87E+00,9.52E+00,1.37E+01,-0.182,-0.728,-0.384,0.843,-1.73E-02,-6.23E-01,1.47E+00,1.60E+00,running
1.06E+00,1.14E+01,8.31E+00,1.42E+01,-0.154,-0.821,-0.089,0.84,-2.64E-01,-8.62E-01,1.26E+00,1.55E+00,running
2.25E+00,1.15E+01,9.08E+00,1.48E+01,-0.093,-0.882,0.073,0.89,-4.67E-01,-9.36E-01,1.11E+00,1.52E+00,running
2.40E+00,1.12E+01,1.21E+01,1.67E+01,-0.059,-0.843,0.133,0.855,-6.51E-01,-7.94E-01,1.05E+00,1.47E+00,running
1.72E+00,1.06E+01,1.44E+01,1.80E+01,0.032,-0.554,0.108,0.565,-7.69E-01,-4.97E-01,1.07E+00,1.40E+00,running
6.02E-01,1.00E+01,1.42E+01,1.74E+01,0.27,-0.453,-0.055,0.53,-8.26E-01,-1.44E-01,1.11E+00,1.39E+00,running
6.64E-01,8.66E+00,3.02E+00,9.19E+00,0.038,-0.287,-0.93,0.974,-2.16E-01,7.06E-01,-9.95E-01,1.24E+00,walking
3.37E-01,8.38E+00,2.79E+00,8.84E+00,0.064,-0.298,-0.957,1.005,-2.20E-01,8.11E-01,-8.89E-01,1.22E+00,walking
-1.21E-02,8.00E+00,2.59E+00,8.41E+00,0.085,-0.302,-0.985,1.034,-2.06E-01,8.91E-01,-7.79E-01,1.20E+00,walking
-3.63E-01,7.64E+00,2.42E+00,8.02E+00,0.104,-0.304,-1.023,1.073,-1.71E-01,9.38E-01,-6.75E-01,1.17E+00,walking
-6.66E-01,7.39E+00,2.23E+00,7.75E+00,0.127,-0.311,-1.071,1.122,-1.26E-01,9.56E-01,-5.85E-01,1.13E+00,walking
-7.90E-01,7.24E+00,2.00E+00,7.55E+00,0.146,-0.315,-1.124,1.176,-7.74E-02,9.52E-01,-5.18E-01,1.09E+00,walking
-7.91E-01,7.22E+00,1.80E+00,7.48E+00,0.16,-0.315,-1.173,1.225,-2.62E-02,9.22E-01,-4.75E-01,1.04E+00,walking
-6.29E-01,7.28E+00,1.70E+00,7.50E+00,0.179,-0.313,-1.214,1.266,2.41E-02,8.62E-01,-4.59E-01,9.77E-01,walking
-4.09E-01,7.44E+00,1.65E+00,7.63E+00,0.208,-0.307,-1.236,1.29,8.00E-02,7.79E-01,-4.66E-01,9.11E-01,walking
-1.78E-01,7.62E+00,1.60E+00,7.79E+00,0.225,-0.289,-1.245,1.298,1.25E-01,6.97E-01,-4.80E-01,8.56E-01,walking
5.55E-02,7.87E+00,1.57E+00,8.03E+00,0.228,-0.258,-1.247,1.294,1.76E-01,6.28E-01,-4.87E-01,8.13E-01,walking
2.81E-01,8.14E+00,1.59E+00,8.29E+00,0.22,-0.222,-1.246,1.284,2.28E-01,5.74E-01,-4.86E-01,7.86E-01,walking
4.99E-01,8.35E+00,1.62E+00,8.52E+00,0.207,-0.191,-1.253,1.284,2.80E-01,5.19E-01,-4.81E-01,7.61E-01,walking
6.41E-01,8.57E+00,1.62E+00,8.74E+00,0.196,-0.165,-1.265,1.291,3.25E-01,4.48E-01,-4.73E-01,7.28E-01,walking
6.63E-01,8.73E+00,1.59E+00,8.90E+00,0.202,-0.145,-1.281,1.305,3.61E-01,3.43E-01,-4.48E-01,6.70E-01,walking
5.94E-01,8.79E+00,1.65E+00,8.96E+00,0.237,-0.142,-1.291,1.32,3.96E-01,2.14E-01,-4.00E-01,6.02E-01,walking
4.53E-01,8.75E+00,1.85E+00,8.96E+00,0.306,-0.173,-1.27,1.318,4.47E-01,7.92E-02,-3.03E-01,5.46E-01,walking
3.00E-01,8.71E+00,2.11E+00,8.97E+00,0.359,-0.205,-1.218,1.286,5.12E-01,-2.64E-02,-1.72E-01,5.40E-01,walking
1.99E-01,8.75E+00,2.25E+00,9.04E+00,0.369,-0.228,-1.161,1.239,5.77E-01,-1.01E-01,-1.29E-02,5.86E-01,walking
1.44E-01,8.84E+00,2.28E+00,9.13E+00,0.35,-0.244,-1.117,1.195,6.23E-01,-1.26E-01,1.58E-01,6.55E-01,walking
8.29E-02,9.06E+00,2.16E+00,9.32E+00,0.297,-0.242,-1.098,1.163,6.11E-01,-1.38E-01,3.03E-01,6.95E-01,walking
2.37E-01,2.06E+00,9.63E+00,9.85E+00,0.001,-0.207,-0.98,1.002,2.68E-03,-1.01E-02,3.66E-03,1.11E-02,standing
2.70E-01,2.02E+00,9.56E+00,9.78E+00,0.003,-0.206,-0.978,1,5.47E-03,-1.41E-02,5.17E-03,1.60E-02,standing
2.69E-01,2.04E+00,9.51E+00,9.73E+00,0.003,-0.204,-0.976,0.997,3.97E-03,-8.94E-03,-3.59E-04,9.79E-03,standing
2.46E-01,2.05E+00,9.47E+00,9.70E+00,0.002,-0.204,-0.971,0.992,6.88E-03,-9.16E-03,-7.65E-04,1.15E-02,standing
2.22E-01,2.03E+00,9.49E+00,9.71E+00,0.001,-0.201,-0.963,0.984,6.37E-03,1.06E-03,-8.99E-03,1.11E-02,standing
2.42E-01,2.05E+00,9.56E+00,9.78E+00,-0.003,-0.205,-0.967,0.989,3.44E-04,1.18E-02,-1.04E-02,1.58E-02,standing
2.54E-01,2.06E+00,9.58E+00,9.80E+00,-0.005,-0.211,-0.977,0.999,-1.06E-02,1.20E-02,-8.35E-03,1.81E-02,standing
2.24E-01,2.07E+00,9.56E+00,9.79E+00,-0.006,-0.211,-0.984,1.006,-1.93E-02,1.16E-02,-8.05E-03,2.39E-02,standing
1.92E-01,2.08E+00,9.51E+00,9.73E+00,-0.009,-0.209,-0.989,1.011,-1.80E-02,8.35E-03,-8.05E-03,2.14E-02,standing
2.30E-01,2.07E+00,9.45E+00,9.68E+00,-0.01,-0.207,-0.992,1.014,-2.03E-02,4.84E-03,-8.76E-03,2.26E-02,standing
2.59E-01,2.05E+00,9.44E+00,9.67E+00,-0.01,-0.208,-0.989,1.011,-1.95E-02,4.04E-03,-5.39E-03,2.06E-02,standing
2.66E-01,2.05E+00,9.48E+00,9.70E+00,-0.008,-0.209,-0.982,1.004,-1.69E-02,6.15E-03,-1.17E-04,1.79E-02,standing
3.00E-01,2.02E+00,9.53E+00,9.75E+00,-0.006,-0.21,-0.976,0.998,-1.62E-02,9.24E-03,2.04E-03,1.87E-02,standing
3.01E-01,2.01E+00,9.57E+00,9.78E+00,-0.005,-0.21,-0.969,0.991,-1.40E-02,8.24E-03,3.17E-03,1.66E-02,standing
2.12E-01,2.01E+00,9.59E+00,9.80E+00,-0.006,-0.21,-0.967,0.99,-1.29E-02,9.25E-03,-4.06E-03,1.64E-02,standing
1.88E-01,2.03E+00,9.55E+00,9.77E+00,-0.004,-0.209,-0.967,0.989,-8.48E-03,4.23E-03,-2.90E-03,9.90E-03,standing
1.58E-01,2.06E+00,9.47E+00,9.70E+00,-0.003,-0.21,-0.971,0.994,-9.57E-03,9.24E-03,-4.76E-03,1.41E-02,standing
1.55E-01,2.10E+00,9.45E+00,9.68E+00,-0.003,-0.21,-0.973,0.995,-9.99E-03,4.17E-03,-2.70E-03,1.12E-02,standing
1.96E-01,2.13E+00,9.51E+00,9.75E+00,-0.003,-0.212,-0.972,0.995,-8.57E-03,4.30E-03,-1.15E-03,9.66E-03,standing
2.76E-01,2.15E+00,9.62E+00,9.86E+00,-0.004,-0.21,-0.971,0.994,-9.65E-03,1.63E-03,5.04E-04,9.80E-03,standing
3.23E-01,2.11E+00,9.72E+00,9.95E+00,-0.003,-0.21,-0.971,0.993,-5.02E-03,-1.13E-03,-2.98E-03,5.95E-03,standing
2.01E+00,4.25E-01,-7.04E-01,2.17E+00,0.249,0.151,-0.555,0.627,-7.48E-01,4.30E-01,-8.42E-01,1.21E+00,running
3.20E+00,1.98E+00,4.00E-01,3.79E+00,0.108,0.015,-0.57,0.581,-4.38E-01,6.00E-01,-7.80E-01,1.08E+00,running
4.09E+00,3.45E+00,1.84E+00,5.66E+00,-0.092,-0.049,-0.589,0.598,-1.91E-01,5.63E-01,-6.50E-01,8.81E-01,running
4.09E+00,4.88E+00,3.80E+00,7.42E+00,-0.251,-0.07,-0.547,0.606,2.86E-02,4.70E-01,-5.36E-01,7.14E-01,running
2.90E+00,5.83E+00,5.67E+00,8.63E+00,-0.291,-0.062,-0.498,0.58,2.08E-01,4.29E-01,-4.71E-01,6.70E-01,running
8.08E-01,6.96E+00,7.41E+00,1.02E+01,-0.267,-0.013,-0.458,0.53,2.86E-01,4.75E-01,-4.37E-01,7.06E-01,running
1.29E-01,7.18E+00,9.58E+00,1.20E+01,-0.21,0.069,-0.467,0.517,3.00E-01,6.37E-01,-4.48E-01,8.34E-01,running
2.01E+00,6.23E+00,1.39E+01,1.54E+01,-0.147,0.145,-0.505,0.546,3.49E-01,8.43E-01,-4.50E-01,1.02E+00,running
3.72E+00,6.40E+00,1.90E+01,2.04E+01,-0.123,0.195,-0.538,0.585,4.71E-01,9.63E-01,-3.55E-01,1.13E+00,running
3.13E+00,6.84E+00,2.13E+01,2.25E+01,-0.116,0.228,-0.57,0.625,6.93E-01,9.08E-01,-2.25E-01,1.16E+00,running
9.68E-01,6.39E+00,2.08E+01,2.17E+01,-0.088,0.28,-0.602,0.67,9.44E-01,7.62E-01,-1.20E-01,1.22E+00,running
-7.88E-01,6.42E+00,2.02E+01,2.12E+01,-0.063,0.296,-0.603,0.674,1.13E+00,6.26E-01,-6.32E-02,1.29E+00,running
-1.77E-01,6.88E+00,2.13E+01,2.24E+01,-0.076,0.24,-0.565,0.619,1.30E+00,5.99E-01,-4.28E-02,1.43E+00,running
1.24E+00,7.63E+00,2.23E+01,2.36E+01,-0.127,0.147,-0.495,0.531,1.36E+00,6.37E-01,6.58E-02,1.50E+00,running
1.52E+00,8.20E+00,2.12E+01,2.28E+01,-0.203,0.045,-0.4,0.451,1.31E+00,5.34E-01,2.56E-01,1.44E+00,running
1.12E+00,8.32E+00,1.84E+01,2.02E+01,-0.247,-0.033,-0.304,0.393,1.23E+00,3.56E-01,4.63E-01,1.36E+00,running
7.89E-01,8.42E+00,1.44E+01,1.67E+01,-0.191,-0.008,-0.217,0.289,1.05E+00,4.26E-02,5.82E-01,1.20E+00,running
3.59E-01,8.51E+00,1.05E+01,1.35E+01,-0.158,-0.021,-0.141,0.213,7.52E-01,-4.47E-01,5.55E-01,1.04E+00,running
-6.28E-01,7.97E+00,6.88E+00,1.05E+01,-0.203,-0.085,-0.12,0.25,3.86E-01,-5.97E-01,4.03E-01,8.17E-01,running
3.17E-01,2.13E+00,9.53E+00,9.77E+00,-0.004,-0.208,-0.966,0.988,2.75E-02,1.68E-02,9.05E-03,3.35E-02,standing
3.35E-01,2.16E+00,9.54E+00,9.78E+00,-0.001,-0.21,-0.97,0.992,1.81E-02,1.23E-02,1.32E-02,2.56E-02,standing
3.22E-01,2.14E+00,9.53E+00,9.77E+00,-0.004,-0.209,-0.97,0.992,5.98E-03,-3.05E-03,1.44E-02,1.59E-02,standing
3.06E-01,2.13E+00,9.47E+00,9.72E+00,-0.001,-0.206,-0.971,0.992,-4.38E-03,-1.54E-02,1.25E-02,2.04E-02,standing
2.95E-01,2.13E+00,9.37E+00,9.61E+00,0.003,-0.204,-0.97,0.992,-1.01E-02,-2.30E-02,5.51E-03,2.57E-02,standing
2.63E-01,2.10E+00,9.32E+00,9.55E+00,0.002,-0.204,-0.97,0.992,-1.58E-02,-2.76E-02,4.97E-03,3.22E-02,standing
2.68E-01,2.09E+00,9.35E+00,9.59E+00,0.001,-0.203,-0.973,0.994,-5.56E-03,-2.56E-02,-1.54E-03,2.62E-02,standing
2.35E-01,2.08E+00,9.43E+00,9.66E+00,-0.001,-0.202,-0.977,0.998,6.30E-03,-1.66E-02,-9.83E-03,2.03E-02,standing
2.24E-01,2.04E+00,9.50E+00,9.72E+00,-0.002,-0.201,-0.986,1.007,1.20E-02,-7.49E-03,-1.39E-02,1.98E-02,standing
2.47E-01,2.03E+00,9.55E+00,9.77E+00,-0.004,-0.195,-0.993,1.012,1.40E-02,2.38E-03,-1.24E-02,1.89E-02,standing
2.45E-01,2.05E+00,9.55E+00,9.77E+00,-0.003,-0.192,-0.992,1.011,1.05E-02,7.82E-03,-9.77E-03,1.64E-02,standing
2.04E-01,2.07E+00,9.53E+00,9.75E+00,0.001,-0.188,-0.989,1.007,7.38E-03,8.56E-03,-2.13E-03,1.15E-02,standing
1.83E-01,2.09E+00,9.52E+00,9.74E+00,0.005,-0.189,-0.985,1.003,6.38E-03,7.33E-03,5.88E-03,1.14E-02,standing
1.91E-01,2.09E+00,9.51E+00,9.73E+00,0.008,-0.194,-0.978,0.997,3.95E-03,5.39E-04,1.08E-02,1.15E-02,standing
1.97E-01,2.09E+00,9.54E+00,9.77E+00,0.005,-0.2,-0.97,0.991,2.24E-03,-2.54E-03,1.23E-02,1.27E-02,standing
2.28E-01,2.09E+00,9.57E+00,9.80E+00,0.001,-0.205,-0.968,0.99,9.21E-04,-5.33E-03,1.63E-02,1.72E-02,standing
2.58E-01,2.09E+00,9.61E+00,9.84E+00,-0.006,-0.206,-0.974,0.995,6.00E-03,-5.58E-03,1.10E-02,1.37E-02,standing
2.32E-01,2.10E+00,9.67E+00,9.90E+00,-0.01,-0.204,-0.98,1.001,7.23E-03,-1.22E-03,3.55E-03,8.15E-03,standing
2.26E-01,2.11E+00,9.70E+00,9.93E+00,-0.011,-0.2,-0.986,1.006,5.76E-03,1.05E-03,3.07E-03,6.61E-03,standing
2.26E-01,2.09E+00,9.67E+00,9.90E+00,-0.011,-0.194,-0.99,1.009,2.72E-03,-2.08E-03,-3.73E-03,5.06E-03,standing
2.02E-01,2.09E+00,9.60E+00,9.83E+00,-0.008,-0.19,-0.982,1,-3.90E-03,2.50E-04,-8.07E-03,8.97E-03,standing
-1.79E-01,7.66E+00,3.71E+00,8.51E+00,0.155,0.083,-1.037,1.052,-3.78E-01,-5.94E-01,3.06E-01,7.68E-01,walking
-6.08E-01,7.82E+00,3.80E+00,8.71E+00,0.158,0.072,-1.032,1.046,-4.17E-01,-8.28E-01,3.02E-02,9.27E-01,walking
-8.01E-01,8.08E+00,4.10E+00,9.09E+00,0.134,0.052,-1.044,1.054,-3.23E-01,-8.62E-01,-1.64E-01,9.35E-01,walking
-8.58E-01,8.34E+00,4.46E+00,9.50E+00,0.093,0.023,-1.062,1.066,-1.15E-01,-7.72E-01,-2.71E-01,8.26E-01,walking
-6.80E-01,8.56E+00,4.75E+00,9.81E+00,0.045,-0.014,-1.063,1.064,1.60E-01,-6.05E-01,-2.75E-01,6.84E-01,walking
-3.11E-01,8.71E+00,4.85E+00,9.97E+00,0.001,-0.051,-1.043,1.044,4.67E-01,-4.00E-01,-1.71E-01,6.38E-01,walking
6.63E-02,8.80E+00,5.02E+00,1.01E+01,-0.033,-0.089,-1.005,1.009,7.60E-01,-2.00E-01,2.40E-02,7.86E-01,walking
5.28E-01,8.88E+00,5.20E+00,1.03E+01,-0.055,-0.123,-0.953,0.963,1.00E+00,-4.60E-02,2.74E-01,1.04E+00,walking
1.03E+00,8.95E+00,5.19E+00,1.04E+01,-0.07,-0.152,-0.896,0.912,1.16E+00,4.46E-02,5.52E-01,1.29E+00,walking
1.36E+00,9.07E+00,5.00E+00,1.04E+01,-0.081,-0.177,-0.843,0.865,1.22E+00,5.45E-02,8.16E-01,1.47E+00,walking
1.65E+00,9.20E+00,4.62E+00,1.04E+01,-0.083,-0.196,-0.797,0.825,1.18E+00,-1.27E-02,1.06E+00,1.59E+00,walking
1.78E+00,9.21E+00,4.11E+00,1.02E+01,-0.072,-0.214,-0.764,0.797,1.07E+00,-9.01E-02,1.26E+00,1.65E+00,walking
1.69E+00,9.10E+00,3.59E+00,9.93E+00,-0.053,-0.227,-0.75,0.785,9.19E-01,-1.38E-01,1.39E+00,1.68E+00,walking
1.39E+00,8.92E+00,3.23E+00,9.59E+00,-0.025,-0.237,-0.754,0.791,7.59E-01,-1.30E-01,1.45E+00,1.64E+00,walking
1.01E+00,8.71E+00,3.13E+00,9.31E+00,0.006,-0.238,-0.776,0.812,6.15E-01,-5.07E-02,1.43E+00,1.56E+00,walking
5.71E-01,8.49E+00,3.28E+00,9.12E+00,0.03,-0.226,-0.807,0.838,4.96E-01,6.75E-02,1.37E+00,1.46E+00,walking
1.44E-01,8.25E+00,3.49E+00,8.96E+00,0.04,-0.201,-0.838,0.863,4.02E-01,1.95E-01,1.29E+00,1.36E+00,walking
-1.33E-01,8.01E+00,3.63E+00,8.80E+00,0.046,-0.177,-0.87,0.889,3.42E-01,3.12E-01,1.22E+00,1.31E+00,walking
-3.47E-01,7.88E+00,3.63E+00,8.68E+00,0.056,-0.158,-0.897,0.913,3.00E-01,4.10E-01,1.16E+00,1.27E+00,walking
-3.51E-01,7.78E+00,3.47E+00,8.53E+00,0.064,-0.144,-0.919,0.932,2.61E-01,4.65E-01,1.11E+00,1.23E+00,walking
-2.44E-01,7.83E+00,3.24E+00,8.48E+00,0.067,-0.139,-0.929,0.942,2.18E-01,4.59E-01,1.04E+00,1.16E+00,walking
-7.74E-02,7.99E+00,3.07E+00,8.56E+00,0.069,-0.14,-0.937,0.95,1.73E-01,3.96E-01,9.81E-01,1.07E+00,walking
1.36E-01,8.18E+00,3.00E+00,8.71E+00,0.062,-0.144,-0.944,0.957,1.30E-01,3.11E-01,9.29E-01,9.88E-01,walking
3.44E-01,8.34E+00,2.92E+00,8.84E+00,0.05,-0.152,-0.946,0.959,1.06E-01,2.15E-01,8.79E-01,9.11E-01,walking
5.44E-01,8.44E+00,2.98E+00,8.97E+00,0.038,-0.163,-0.943,0.957,8.60E-02,9.96E-02,8.25E-01,8.35E-01,walking
6.36E-01,8.62E+00,3.24E+00,9.23E+00,0.03,-0.173,-0.937,0.953,7.34E-02,-2.03E-02,7.52E-01,7.56E-01,walking
7.24E-01,8.71E+00,3.48E+00,9.41E+00,0.026,-0.191,-0.937,0.956,5.48E-02,-1.31E-01,6.58E-01,6.73E-01,walking
8.07E-01,8.82E+00,3.69E+00,9.60E+00,0.023,-0.212,-0.943,0.967,3.76E-02,-2.18E-01,5.51E-01,5.94E-01,walking
6.80E-01,8.90E+00,3.79E+00,9.70E+00,0.017,-0.229,-0.954,0.982,2.32E-02,-2.74E-01,4.37E-01,5.17E-01,walking
4.02E-01,8.85E+00,3.81E+00,9.64E+00,0.011,-0.244,-0.968,0.998,4.21E-03,-3.18E-01,3.25E-01,4.55E-01,walking
8.04E-02,8.73E+00,3.72E+00,9.49E+00,0.007,-0.256,-0.985,1.018,-2.33E-02,-3.39E-01,1.99E-01,3.93E-01,walking
-1.31E-01,8.62E+00,3.48E+00,9.30E+00,0.008,-0.267,-1,1.035,-5.93E-02,-3.30E-01,6.17E-02,3.41E-01,walking
-3.34E-01,8.69E+00,3.30E+00,9.30E+00,0.009,-0.276,-1.018,1.055,-1.01E-01,-3.02E-01,-7.90E-02,3.28E-01,walking
-3.98E-01,8.89E+00,3.28E+00,9.49E+00,0.007,-0.285,-1.034,1.073,-1.45E-01,-2.62E-01,-1.95E-01,3.57E-01,walking
-4.37E-01,9.24E+00,3.33E+00,9.83E+00,0.012,-0.294,-1.048,1.089,-1.85E-01,-1.77E-01,-2.61E-01,3.66E-01,walking
